0.2	0.141
5	0.185
10	0.194
15	0.188
20	0.177
25	0.167
30	0.157
35	0.143
40	0.135
45	0.127
50	0.119
55	0.112
60	0.105
65	0.097
70	0.088
75	0.076
80	0.061
